"会場","開催日","箱番号","番号","レーン名","品名","ブランド名","枠","脇石","重量","品番","ランク","スタート価格","予想時刻","オークション結果","落札価格"
"JBA東京","2024/06/30","401","1","---","時計","ROLEX","YG/SS","AT","","116503NG ﾃﾞｲﾄﾅ ﾌﾞﾗｯｸｼｪﾙ文字盤 箱 ｶｰﾄﾞ ｺﾏ1 別展 新J 新P ﾙｰﾚｯﾄ ﾗﾝﾀﾞﾑ番","","0","","落札","3395000"
"JBA東京","2024/06/30","402","1","---","時計","ROLEX","SS","AT","","226570 ｴｸｽﾌﾟﾛｰﾗｰ2 箱 ｶｰﾄﾞ ｺﾏ1 別展 新J ﾙｰﾚｯﾄ ﾗﾝﾀﾞﾑ番","","0","","落札","1610000"
"JBA東京","2024/06/30","404","2","---","時計","ROLEX","WG/SS","AT","","69174G ﾃﾞｲﾄｼﾞｬｽﾄ10Pﾀﾞｲﾔ 旧J 旧P X番","","0","","落札","403000"
"JBA東京","2024/06/30","404","5","---","時計","ROLEX","YG/SS","AT","","16013 ﾃﾞｲﾄｼﾞｬｽﾄ 47番 旧J 47番","","0","","落札","483000"
"JBA東京","2024/06/30","404","8","---","時計","ROLEX","SS","AT","","114270 ｴｸｽﾌﾟﾛｰﾗｰⅠ Y番 保 新J Y番","","0","","落札","680000"
"JBA東京","2024/06/30","412","8","---","時計","ROLEX","WG/SS","AT","","279174 ﾃﾞｲﾄｼﾞｬｽﾄ ﾗﾝﾀﾞﾑ番 ｹｰｽ ｶｰﾄﾞ ｺﾏ2 新J ﾗﾝﾀﾞﾑ番 ﾙｰﾚｯﾄ","","0","","落札","960000"
"JBA東京","2024/06/30","412","9","---","時計","ROLEX","WG/SS","AT","","116234 ﾃﾞｲﾄｼﾞｬｽﾄ ﾗﾝﾀﾞﾑ番 ｶｰﾄﾞ 新J ﾗﾝﾀﾞﾑ番 ﾙｰﾚｯﾄ 別展","","0","","落札","1030000"
"JBA東京","2024/06/30","413","9","---","時計","ROLEX","YG/GP/革","AT","33.0g","ﾌﾟﾚｼｼﾞｮﾝ K18 現状","","0","","落札","142000"
"JBA東京","2024/06/30","417","6","---","時計","ROLEX","WG","手巻き","7.3g","ﾌﾟﾚｼｼﾞｮﾝ ｹｰｽのみ K18","","0","","落札","99000"
"JBA東京","2024/06/30","419","5","---","時計","ROLEX","WG/SS","AT","","179174 ﾃﾞｲﾄｼﾞｬｽﾄ D番 新J D番","","0","","落札","609000"
"JBA東京","2024/06/30","419","7","---","時計","ROLEX","WG/SS","AT","","179174 ﾃﾞｲﾄｼﾞｬｽﾄ ﾗﾝﾀﾞﾑ番 新J ﾗﾝﾀﾞﾑ番 ﾙｰﾚｯﾄ","","0","","落札","633000"
"JBA東京","2024/06/30","426","3","---","時計","ROLEX","WG/SS","AT","","79174 ﾃﾞｲﾄｼﾞｬｽﾄ K番 ｺﾏ2 新J K番","","0","","落札","402000"
"JBA東京","2024/06/30","426","6","---","時計","ROLEX","YG/SS","AT","","69173G ﾃﾞｲﾄｼﾞｬｽﾄ 10Pﾀﾞｲﾔ R番 旧J 旧P R番","","0","","落札","400000"
"JBA東京","2024/06/30","426","7","---","時計","ROLEX","YG/SS","AT","","69173G ﾃﾞｲﾄｼﾞｬｽﾄ 10Pﾀﾞｲﾔ W番 保 修理明細書 新J 新P W番","","0","","落札","485000"
"JBA東京","2024/06/30","426","10","---","時計","ROLEX","SS","AT","","16610 ｻﾌﾞﾏﾘｰﾅ V番 箱 ｶｰﾄﾞ ﾀｸﾞ 新J V番 ﾙｰﾚｯﾄ 別展","","0","","落札","1220000"
"JBA東京","2024/06/30","439","1","---","時計","ROLEX","YG/SS","AT","","116233 ﾃﾞｲﾄｼﾞｬｽﾄ ｹｰｽ ｶｰﾄﾞ ｺﾏ2 修理ｶｰﾄﾞ 別展 新J ﾙｰﾚｯﾄ V番","","0","","落札","1160000"
"JBA東京","2024/06/30","440","10","---","時計","ROLEX","SS","AT","","216570 ｴｸｽﾌﾟﾛｰﾗｰⅡ G番 ｶｰﾄﾞ 修理明細書 新J G番 ﾙｰﾚｯﾄ 別展","","0","","落札","1080000"
