会場,開催日,箱番号,番号,レーン名,品名,ブランド名,枠,脇石,重量,品番,,ランク,スタート価格,予想時刻,オークション結果,落札価格
JBA東京,2024/05/31,541,1,---,時計,ROLEX,SS/革,手巻き,,6694, ｵｲｽﾀｰﾃﾞｲﾄ,,0,,落札,195000
JBA東京,2024/05/31,543,9,---,時計,ROLEX,SS,AT,,176200, ｵｲｽﾀｰ ﾊﾟｰﾍﾟﾁｭｱﾙ M番 ｶｰﾄﾞ 新J M番,,0,,落札,418000
JBA東京,2024/05/31,546,1,---,時計,ROLEX,PT/SS,AT,,16622, ﾖｯﾄﾏｽﾀｰ ｸﾞﾚｰ 保(日ﾛﾚ) ｺﾏ2 別展 新J P番,,0,,落札,1110000
JBA東京,2024/05/31,548,3,---,時計,ROLEX,SS,AT,,214270, ｴｸｽﾌﾟﾛｰﾗｰⅠ G番 箱 ｶｰﾄﾞ 新J G番 ﾙｰﾚｯﾄ,,0,,落札,806000
JBA東京,2024/05/31,548,8,---,時計,ROLEX,YG/SS,AT,,69173G, ﾃﾞｲﾄｼﾞｬｽﾄ 10Pﾀﾞｲﾔ 旧J 新P 95番,,0,,落札,455000
JBA東京,2024/05/31,553,1,---,時計,ROLEX,SS,AT,,114270, ｴｸｽﾌﾟﾛｰﾗｰ 保 新J K番,,0,,落札,680000
JBA東京,2024/05/31,553,10,---,時計,ROLEX,YG/SS,AT,,16523, ﾃﾞｲﾄﾅ 別展 新J S番,,0,,落札,1915000
JBA東京,2024/05/31,554,1,---,時計,ROLEX,SS,AT,,14060, ｻﾌﾞﾏﾘｰﾅ 箱 保 ｺﾏ1 別展 旧J A番,,0,,落札,1050000
JBA東京,2024/05/31,556,8,---,時計,ROLEX,YG/SS,AT,,16233G, ﾃﾞｲﾄｼﾞｬｽﾄ 新J 新P W番,,0,,落札,697000
JBA東京,2024/05/31,556,9,---,時計,ROLEX,YG/SS,AT,,16013, ﾃﾞｲﾄｼﾞｬｽﾄ 旧J 47番,,0,,落札,520000
JBA東京,2024/05/31,560,2,---,時計,ROLEX,,,,ｺﾏ2個,,0,,落札,3000
JBA東京,2024/05/31,564,1,---,時計,ROLEX,YG/SS,AT,,69173G, ﾃﾞｲﾄｼﾞｬｽﾄ ｼｬﾝﾊﾟﾝ/10P ﾌﾟﾗｲｽﾀｸﾞ 新J 新P T番,,0,,落札,452000
